Time (s),Linear Acceleration x1 (m/s^2),Linear Acceleration x2 (m/s^2),Linear Acceleration x3 (m/s^2)
3.85,1.657650232,0.695721745,2.342208385
3.855,1.694165707,0.780222237,3.053915977
3.86,1.762452364,0.707849741,3.460938692
3.865,1.86527741,0.669873476,3.850661755
3.87,1.880794406,0.546367049,4.170974731
3.875,1.934002638,0.585778475,4.284926414
3.88,1.989800453,0.627797186,4.143142223
3.885,1.855579376,0.679976106,4.121534824
3.89,1.779184222,0.826600909,4.132734776
3.895,1.735045314,0.872115493,4.109388351
3.9,1.655198812,0.989008307,3.962898016
3.905,1.701614141,0.94988668,3.795573473
3.91,1.761391282,0.874360263,3.517570019
3.915,1.913407803,0.767348886,3.05572319
3.92,2.018955469,0.643240929,2.537820578
3.925,2.071173668,0.51605773,1.902355909
3.93,2.111222267,0.361456275,1.169460535
3.935,2.218830585,0.267748058,0.469079494
3.94,2.351749897,0.160412371,-0.150049925
3.945,2.446211815,0.0225811,-0.612628222
3.95,2.445412874,-0.043101251,-0.912167788
3.955,2.483582973,-0.065414071,-0.993579865
3.96,2.522758961,-0.106667876,-0.935019016
3.965,2.522534609,-0.071389973,-0.850137234
3.97,2.499809027,-0.010053396,-0.745076895
3.975,2.418567896,0.115647316,-0.67407012
3.98,2.30974555,0.248514682,-0.474010468
3.985,2.196954966,0.405598879,-0.275702477
3.99,2.166214943,0.436147153,-0.028419256
3.995,2.162575483,0.462084144,0.131906748
4,2.112055302,0.545601606,0.229321957
4.005,2.074516773,0.665541768,0.331046224
4.01,2.076258659,0.803141236,0.480265141
4.015,2.036083937,0.956352234,0.557558537
4.02,1.891901374,1.132798672,0.572594047
4.025,1.811023116,1.246821761,0.46043396
4.03,1.625603199,1.289017439,0.337848783
4.035,1.543464899,1.26186955,0.233225822
4.04,1.468375325,1.078931332,0.146470547
4.045,1.385833025,0.881023765,0.146991134
4.05,1.279128551,0.705968857,0.088848233
4.055,1.172178268,0.5410676,-0.09991765
4.06,1.038273096,0.43850863,-0.355142117
4.065,0.891591549,0.429284811,-0.667802334
4.07,0.863355577,0.369987488,-0.919027567
4.075,0.850591779,0.332788646,-1.040078878
4.08,0.826881289,0.166673005,-1.093591213
4.085,0.758593619,0.022165954,-0.993378401
4.09,0.748598278,-0.093618453,-0.853952408
4.095,0.768016934,-0.039476097,-0.667734146
4.1,0.857575953,0.022086918,-0.429295301
4.105,0.862096906,0.091228932,-0.217115641
4.11,0.913287997,0.139460355,-0.092983127
4.115,0.913013041,0.159751922,0.057971001
4.12,0.897100151,0.089830637,0.211947322
4.125,0.884393096,0.035060167,0.307289839
4.13,0.867677391,-0.088342905,0.497346878
4.135,0.861535013,-0.16817522,0.600473523
4.14,0.782495439,-0.264545619,0.719687819
4.145,0.668724,-0.363488436,0.843110561
4.15,0.498414934,-0.424442351,0.942091823
4.155,0.381333649,-0.454899073,0.861337781
4.16,0.180641532,-0.349544466,0.75841254
4.165,0.111350596,-0.414430261,0.448380113
4.17,-0.054039836,-0.441167474,0.160348296
