Time (s),Linear Acceleration z1 (m/s^2),Linear Acceleration z2 (m/s^2),Linear Acceleration z3 (m/s^2)
2.795,-2.909480572,-4.20584774,-2.14978528
2.8,-2.236386776,-4.301146984,-4.847008228
2.805,-1.644066095,-4.185756207,-7.226547241
2.81,-1.18620491,-4.06658411,-6.53518486
2.815,-0.812052727,-3.903312922,-5.141314507
2.82,-0.574637413,-3.925765038,-3.491276264
2.825,-0.472828865,-3.92374897,-2.43427062
2.83,-0.470231056,-3.938043356,-1.795058727
2.835,-0.729283333,-3.773134232,-1.328959942
2.84,-0.999247551,-3.386731863,-1.029152393
2.845,-1.437567949,-2.91984272,-0.705083847
2.85,-2.089824438,-2.658354759,-0.31382513
2.855,-2.497386217,-2.423833132,0.002356052
2.86,-2.847341776,-2.279970407,0.099948406
2.865,-3.146660805,-2.187342644,0.176469326
2.87,-3.450143099,-2.075967312,0.031197548
2.875,-3.704642057,-1.823061824,-0.197399616
2.88,-3.833102703,-1.633555174,-0.510080338
2.885,-3.954038143,-1.427595854,-0.993833542
2.89,-3.986964941,-1.216557264,-1.4917624
2.895,-3.911295652,-1.009453177,-2.040837765
2.9,-3.758659601,-0.855977058,-2.696847439
2.905,-3.565229893,-0.731953382,-3.228649616
2.91,-3.263626575,-0.570185423,-3.711029291
2.915,-2.901390791,-0.432498455,-4.055841446
2.92,-2.523302555,-0.30458045,-4.286902905
2.925,-2.061700821,-0.176808596,-4.372802734
2.93,-1.692845702,-0.010739088,-4.429939747
2.935,-1.454335809,0.057504892,-4.332915783
2.94,-1.13478756,0.147562027,-4.133163929
2.945,-0.858080864,0.158810139,-3.891200066
2.95,-0.640593529,0.143797874,-3.66004467
2.955,-0.360013723,0.152343988,-3.45935154
2.96,-0.226766348,-0.071257591,-3.253682852
2.965,-0.087828398,-0.40750885,-2.990694284
2.97,-0.063145876,-0.937861562,-2.964394569
2.975,0.074487209,-1.490627527,-2.748105526
2.98,0.171923876,-1.971160293,-2.496449471
2.985,0.272365332,-2.324881077,-2.158499718
2.99,0.340190649,-2.465899229,-1.85564518
2.995,0.411582232,-2.504539013,-1.646791697
3,0.362598658,-2.526199818,-1.456734419
3.005,0.298584223,-2.780883551,-1.277300119
3.01,0.123521566,-2.897066116,-1.126980901
3.015,-0.132234335,-2.91312933,-0.93830204
3.02,-0.485996008,-2.717046976,-0.777869582
3.025,-0.904849768,-2.536500692,-0.692808509
3.03,-1.343708992,-2.350561619,-0.658657074
3.035,-1.836899877,-1.976796746,-0.679591537
3.04,-2.184473038,-1.509197593,-0.93232286
3.045,-2.690684795,-1.013775826,-1.251578927
3.05,-3.12793088,-0.619620919,-1.661713362
3.055,-3.396950245,-0.365904093,-2.239844561
3.06,-3.154033661,-0.220894337,-2.711896181
3.065,-2.502328396,-0.301421046,-3.169940233
3.07,-1.432755589,-0.30779767,-3.524691343
3.075,-0.323444724,-0.221740246,-3.923827171
3.08,0.135579944,-0.814800024,-4.418542862
3.085,1.931984067,-2.849311829,-4.866658211
3.09,2.368326902,-5.645291328,-5.219682693
3.095,2.550470352,-8.740390778,-5.19759655
3.1,2.374535322,-11.0666399,-4.631374359
3.105,2.335346699,-10.77617836,-3.383412361
3.11,2.174525261,-3.298021793,-2.004973173
3.115,2.574898481,5.09796381,-0.84782052
3.12,2.894431829,22.97364807,0.266695619
3.125,3.720178366,39.78888702,1.551358223
3.13,3.125272512,52.83190155,2.504773855
3.135,0.17989707,59.97291946,3.000134468
3.14,-4.785274506,62.71401978,3.015650749
3.145,-10.65881062,58.99343109,2.592689991
3.15,-9.301096916,52.32630539,1.97913754
3.155,-3.802164793,44.17679596,1.542545676
3.16,7.184613705,35.22065735,1.643999338
3.165,25.5810051,26.51879501,1.708992958
3.17,44.16292191,18.76468658,0.135697842
3.175,55.22849655,11.79985332,-3.927441359
3.18,61.82297897,5.955879211,-5.625463486
3.185,64.11647797,0.726529598,7.884100914
3.19,61.31173325,-3.489933491,10.15705109
3.195,53.69023132,-6.390816212,22.91084862
3.2,43.14150238,-8.125303268,42.0789032
3.205,32.44900513,-9.035658836,60.27714157
3.21,22.24809265,-9.242117882,62.02601624
3.215,13.53795147,-8.668463707,56.40155029
3.22,6.289968967,-7.591272354,47.61426163
