Time (s),Linear Acceleration y1 (m/s^2),Linear Acceleration y2 (m/s^2),Linear Acceleration y3 (m/s^2)
3.955,-2.125216007,-0.246212006,0.845915794
3.96,-2.16281271,-0.227662086,0.756718636
3.965,-2.193665981,-0.221693039,0.596003056
3.97,-2.211167336,-0.185318947,0.313210487
3.975,-2.242208958,-0.204712868,0.08027792
3.98,-2.220367432,-0.196043015,-0.222908974
3.985,-2.19651413,-0.207055092,-0.436403751
3.99,-2.128121376,-0.259076118,-0.524899483
3.995,-2.034849167,-0.315979004,-0.629920959
4,-1.986372948,-0.336891174,-0.69192791
4.005,-1.908679962,-0.357557297,-0.749466419
4.01,-1.878450394,-0.346727371,-0.719069004
4.015,-1.819176674,-0.318632126,-0.679820538
4.02,-1.742882252,-0.297145844,-0.662834167
4.025,-1.695045948,-0.291841507,-0.572405815
4.03,-1.651683807,-0.302664757,-0.551953316
4.035,-1.641478539,-0.331965446,-0.512779236
4.04,-1.518447399,-0.367887497,-0.512136936
4.045,-1.411936283,-0.348312378,-0.463814735
4.05,-1.28853178,-0.388225555,-0.513614655
4.055,-1.201068878,-0.384901047,-0.517900467
4.06,-1.154340744,-0.369624138,-0.479132175
4.065,-1.059849739,-0.32344532,-0.409394264
4.07,-0.991741657,-0.31091404,-0.301659584
4.075,-0.90445137,-0.269882202,-0.249239445
4.08,-0.836204052,-0.214643478,-0.118231773
4.085,-0.765358925,-0.204935074,-0.035526276
4.09,-0.703756332,-0.207244873,-0.060864925
4.095,-0.665653229,-0.219292641,-0.024506092
4.1,-0.579194069,-0.188545227,-0.017378807
4.105,-0.492200851,-0.175032616,-0.046688557
4.11,-0.505098343,-0.197955132,-0.030958652
4.115,-0.419316292,-0.207060814,-0.056050777
4.12,-0.356931686,-0.192730904,-0.049870491
4.125,-0.372980118,-0.159640312,-0.062431812
4.13,-0.352672577,-0.157853127,-0.055150509
4.135,-0.322467804,-0.091582298,0.012723446
4.14,-0.339975357,-0.056422234,0.040801525
4.145,-0.321513176,-0.004403114,0.036352158
4.15,-0.262496948,-0.033368111,0.071228504
4.155,-0.163035393,-0.040390968,0.054523945
4.16,-0.14029026,0.020013809,0.113059044
4.165,-0.143975258,0.042630196,0.182016373
4.17,-0.097392082,0.049036026,0.211227894
4.175,-0.081790924,0.039398193,0.200464249
4.18,-0.001455307,0.08551693,0.28094101
4.185,0.035890579,0.065502167,0.244281769
4.19,0.073277473,0.046349525,0.231446743
4.195,0.117801666,0.068610191,0.194254398
4.2,0.147859573,0.081790924,0.223257065
4.205,0.129870415,0.054631233,0.251263142
4.21,0.090250969,0.044277191,0.237600327
4.215,0.110292435,0.048211098,0.189664841
4.22,0.137343407,0.080672264,0.174517155
4.225,0.111493111,0.091352463,0.23025322
4.23,0.126089096,0.092183113,0.206289291
4.235,0.142795563,0.111795425,0.217302322
4.24,0.195113182,0.114200592,0.251410484
4.245,0.220900536,0.08979702,0.186692715
4.25,0.184407234,0.091222763,0.217159271
4.255,0.205404282,0.099262238,0.189884186
4.26,0.181064606,0.159380913,0.203112125
